Cutting Speed (m/min),Feed (mm/rec),Depth of cut (mm),RPM,Diameter(mm),RMS mean
130,0.15,1,700,60,-372.95227
130,0.15,0.8,700,60,-372.7335
130,0.35,0.6,700,60,-371.4288
130,0.45,0.4,700,60,-370.52707
130,0.55,0.2,700,60,-370.52649
110,0.15,0.8,700,50,-368.99894
110,0.15,0.6,700,50,-370.6612
110,0.35,0.4,700,50,-370.07134
110,0.45,0.2,700,50,-370.0752
92,0.15,0.6,700,42,-369.01004
92,0.25,0.4,700,42,-369.06274
92,0.35,0.2,700,42,-369.0938
92,0.55,0.8,700,45,-368.77637
70,0.15,0.4,480,47,-369.66427
70,0.25,0.2,480,47,-369.6846
70,0.35,1,480,47,-369.2315
70,0.45,0.8,480,47,-368.84514
70,0.55,0.6,480,47,-369.6503
50,0.25,0.2,290,55,-369.9876
50,0.15,1,290,55,-369.32875
50,0.35,0.8,290,55,-369.6999
50,0.45,0.6,290,55,-369.6608
50,0.55,0.4,290,55,-369.8245
100,0.15,0.6,700,45,-369.36124
100,0.25,0.4,700,45,-369.2717
100,0.35,0.2,700,45,-369.2731
82,0.45,1,480,55,-369.5128
82,0.35,0.8,480,55,-369.2153
82,0.25,0.6,480,55,-369.90328
82,0.15,0.4,480,55,-369.6609
82,0.55,0.2,480,55,-369.6619
67,0.4,0.4,480,45,-368.6494
67,0.3,0.6,480,45,-368.8411
67,0.22,0.8,480,45,-368.71963
67,0.16,1,480,45,-368.9629
60,0.4,0.6,480,40,-368.7469
60,0.3,0.8,480,40,-368.73602
60,0.22,1,480,40,-368.7694
60,0.16,0.2,480,40,-368.7765
55,0.4,0.6,480,36,-368.13074
55,0.3,0.8,480,36,-368.1925
55,0.22,1,480,36,-368.2499
55,0.16,0.2,480,36,-367.7867
45,0.4,0.8,480,31,-367.3586
45,0.3,1,480,31,-367.4023
45,0.22,0.2,480,31,-367.34197
45,0.16,0.4,480,31,-367.3641
35,0.5,0.8,290,38,-368.5434
35,0.4,1,290,38,-368.5347
35,0.3,0.2,290,38,-368.61869
35,0.22,0.4,290,38,-368.6113
35,0.16,0.6,290,38,-368.59485
27,0.3,0.4,290,30,-367.14575
27,0.22,0.6,290,30,-367.11942
27,0.16,0.8,290,30,-367.0869
